strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,main_loaded_veh,main_arrived_veh,main_unfinished_veh,main_total_time_spent_s,main_total_wait_time_s,main_avg_wait_time_s,main_peak_queue_vehicles,side_loaded_veh,side_arrived_veh,side_unfinished_veh,side_total_time_spent_s,side_total_wait_time_s,side_avg_wait_time_s,side_peak_queue_vehicles,total_time_spent_s,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
cooperative_limited,1:4,800,0,0,0,0,0,80,80,0,4788.0,0.0,0.0,0,320,320,0,20390.0,32.0,0.1,1,25178.0,160,640,400,400,400,0,0.2222222222222222,0.08,32.0,0,62.945,25178.0,queue,4,1800.0,600.0,2400.0,1,0,0,400,400,0,0
cooperative_limited,1:4,800,0,0,0,0,0,80,80,0,4840.0,0.0,0.0,0,320,320,0,20497.0,68.0,0.2125,1,25337.0,160,640,400,400,400,0,0.2222222222222222,0.17,68.0,0,63.3425,25337.0,queue,5,1800.0,600.0,2400.0,1,0,0,400,400,0,0
uncontrolled,1:5,800,0,0,0,0,0,67,67,0,3977.0,0.0,0.0,0,334,334,0,21469.0,60.0,0.17964071856287425,1,25446.0,133,667,400,401,401,0,0.22277777777777777,0.14962593516209477,60.0,0,63.45635910224439,25446.0,queue,1,1800.0,600.0,2400.0,1,0,0,401,401,0,0
uncontrolled,1:5,800,0,0,0,0,0,67,67,0,4041.0,0.0,0.0,0,334,334,0,21577.0,85.0,0.25449101796407186,1,25618.0,133,667,400,401,401,0,0.22277777777777777,0.2119700748129676,85.0,0,63.885286783042396,25618.0,queue,2,1800.0,600.0,2400.0,1,0,0,401,401,0,0
uncontrolled,1:5,800,0,0,0,0,0,67,67,0,4044.0,0.0,0.0,0,334,334,0,21504.0,67.0,0.20059880239520958,1,25548.0,133,667,400,401,401,0,0.22277777777777777,0.16708229426433915,67.0,0,63.71072319201995,25548.0,queue,3,1800.0,600.0,2400.0,1,0,0,401,401,0,0
uncontrolled,1:5,800,0,0,0,0,0,67,67,0,3995.0,0.0,0.0,0,334,334,0,21336.0,57.0,0.17065868263473055,1,25331.0,133,667,400,401,401,0,0.22277777777777777,0.14214463840399003,57.0,0,63.16957605985037,25331.0,queue,4,1800.0,600.0,2400.0,1,0,0,401,401,0,0
uncontrolled,1:5,800,0,0,0,0,0,67,67,0,3987.0,0.0,0.0,0,334,334,0,21528.0,85.0,0.25449101796407186,2,25515.0,133,667,400,401,401,0,0.22277777777777777,0.2119700748129676,85.0,0,63.6284289276808,25515.0,queue,5,1800.0,600.0,2400.0,2,0,0,401,401,0,0
cooperative_limited,1:5,800,0,0,0,0,0,67,67,0,3977.0,0.0,0.0,0,334,334,0,21469.0,60.0,0.17964071856287425,1,25446.0,133,667,400,401,401,0,0.22277777777777777,0.14962593516209477,60.0,0,63.45635910224439,25446.0,queue,1,1800.0,600.0,2400.0,1,0,0,401,401,0,0
cooperative_limited,1:5,800,0,0,0,0,0,67,67,0,4041.0,0.0,0.0,0,334,334,0,21577.0,85.0,0.25449101796407186,1,25618.0,133,667,400,401,401,0,0.22277777777777777,0.2119700748129676,85.0,0,63.885286783042396,25618.0,queue,2,1800.0,600.0,2400.0,1,0,0,401,401,0,0
cooperative_limited,1:5,800,0,0,0,0,0,67,67,0,4044.0,0.0,0.0,0,334,334,0,21504.0,67.0,0.20059880239520958,1,25548.0,133,667,400,401,401,0,0.22277777777777777,0.16708229426433915,67.0,0,63.71072319201995,25548.0,queue,3,1800.0,600.0,2400.0,1,0,0,401,401,0,0
cooperative_limited,1:5,800,0,0,0,0,0,67,67,0,3995.0,0.0,0.0,0,334,334,0,21336.0,57.0,0.17065868263473055,1,25331.0,133,667,400,401,401,0,0.22277777777777777,0.14214463840399003,57.0,0,63.16957605985037,25331.0,queue,4,1800.0,600.0,2400.0,1,0,0,401,401,0,0
cooperative_limited,1:5,800,0,0,0,0,0,67,67,0,3987.0,0.0,0.0,0,334,334,0,21528.0,85.0,0.25449101796407186,2,25515.0,133,667,400,401,401,0,0.22277777777777777,0.2119700748129676,85.0,0,63.6284289276808,25515.0,queue,5,1800.0,600.0,2400.0,2,0,0,401,401,0,0
uncontrolled,1:1,1000,0,0,0,0,0,250,250,0,14790.0,0.0,0.0,0,250,250,0,106763.0,65503.0,262.012,53,121553.0,500,500,500,500,500,0,0.2777777777777778,130.986,65503.0,0,243.106,121553.0,queue,1,1800.0,600.0,2400.0,197,0,0,500,500,0,0
uncontrolled,1:1,1000,0,0,0,0,0,250,250,0,14836.0,0.0,0.0,0,250,250,0,105719.0,64490.0,257.96,53,120555.0,500,500,500,500,500,0,0.2777777777777778,128.962,64490.0,0,241.11,120555.0,queue,2,1800.0,600.0,2400.0,191,0,0,500,500,0,0
uncontrolled,1:1,1000,0,0,0,0,0,250,250,0,14594.0,0.0,0.0,0,250,248,2,108174.0,67050.0,268.2,53,122768.0,500,500,500,500,498,2,0.27666666666666667,134.6164658634538,67050.0,2,246.0120481927711,122514.0,breakdown,3,1800.0,600.0,2400.0,202,2,0,500,500,0,0
uncontrolled,1:1,1000,0,0,0,0,0,250,250,0,14557.0,0.0,0.0,0,250,250,0,107208.0,66013.0,264.052,53,121765.0,500,500,500,500,500,0,0.2777777777777778,131.992,66013.0,0,243.53,121765.0,queue,4,1800.0,600.0,2400.0,198,0,0,500,500,0,0
uncontrolled,1:1,1000,0,0,0,0,0,250,250,0,14611.0,0.0,0.0,0,250,242,8,108353.0,67955.0,271.82,53,122964.0,500,500,500,500,492,8,0.2733333333333333,138.10162601626016,67955.0,8,247.9918699186992,122012.0,breakdown,5,1800.0,600.0,2400.0,200,8,0,500,500,0,0
cooperative_limited,1:1,1000,106,1,105,106,53,250,250,0,14947.0,0.0,0.0,0,250,248,2,107640.0,68021.0,272.084,53,122587.0,500,500,500,500,498,2,0.27666666666666667,136.5562248995984,68021.0,2,245.67871485943775,122348.0,breakdown,1,1800.0,600.0,2400.0,202,2,0,500,500,0,0
cooperative_limited,1:1,1000,104,3,101,104,62,250,250,0,14981.0,0.0,0.0,0,250,250,0,106066.0,64765.0,259.06,53,121047.0,500,500,500,500,500,0,0.2777777777777778,129.512,64765.0,0,242.094,121047.0,queue,2,1800.0,600.0,2400.0,191,0,0,500,500,0,0
cooperative_limited,1:1,1000,105,3,102,105,46,250,250,0,14727.0,0.0,0.0,0,250,238,12,109892.0,69766.0,279.064,53,124619.0,500,500,500,500,488,12,0.27111111111111114,142.94467213114754,69766.0,12,252.6372950819672,123287.0,breakdown,3,1800.0,600.0,2400.0,209,12,0,500,500,0,0
cooperative_limited,1:1,1000,103,4,99,103,52,250,250,0,14697.0,0.0,0.0,0,250,250,0,107296.0,67274.0,269.096,53,121993.0,500,500,500,500,500,0,0.2777777777777778,134.524,67274.0,0,243.986,121993.0,queue,4,1800.0,600.0,2400.0,194,0,0,500,500,0,0
cooperative_limited,1:1,1000,103,2,101,103,51,250,250,0,14772.0,0.0,0.0,0,250,248,2,107385.0,67387.0,269.548,53,122157.0,500,500,500,500,498,2,0.27666666666666667,135.29718875502007,67387.0,2,244.79718875502007,121909.0,breakdown,5,1800.0,600.0,2400.0,196,2,0,500,500,0,0
uncontrolled,1:2,1000,0,0,0,0,0,167,167,0,9693.0,0.0,0.0,0,330,284,46,112050.0,61622.0,186.73333333333332,50,121743.0,333,667,500,501,451,50,0.25055555555555553,136.59423503325942,61622.0,50,263.74057649667407,118947.0,breakdown,1,1800.0,600.0,2400.0,240,46,4,497,501,0,0
uncontrolled,1:2,1000,0,0,0,0,0,167,167,0,9809.0,0.0,0.0,0,330,282,48,112956.0,62196.0,188.47272727272727,53,122765.0,333,667,500,501,449,52,0.24944444444444444,138.48329621380847,62196.0,52,266.4877505567929,119653.0,breakdown,2,1800.0,600.0,2400.0,239,48,4,497,501,0,0
