strategy,demand_ratio,total_demand_veh_h,interventions,successful_releases,timed_out_interventions,yielded_main_vehicles,side_merges_after_intervention,meter_release_interval_s,meter_activations,meter_active_time_s,meter_active_share,meter_releases,main_loaded_veh,main_departed_veh,main_arrived_veh,main_network_unfinished_veh,main_pending_veh_end,main_total_unfinished_veh,main_network_time_spent_s,main_insertion_wait_time_s,main_total_time_spent_s,main_stopped_time_s,main_avg_stopped_time_s,main_peak_network_queue_vehicles,main_peak_pending_vehicles,side_loaded_veh,side_departed_veh,side_arrived_veh,side_network_unfinished_veh,side_pending_veh_end,side_total_unfinished_veh,side_network_time_spent_s,side_insertion_wait_time_s,side_total_time_spent_s,side_stopped_time_s,side_avg_stopped_time_s,side_peak_network_queue_vehicles,side_peak_pending_vehicles,network_time_spent_s,insertion_wait_time_s,total_time_spent_s,accounted_loaded_veh,loaded_reconciliation_error_veh,main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
ramp_fixed_4s,1:2,800,0,0,0,0,0,4.0,0,0.0,0.0,229,134,134,134,0,0,0,7844.0,0.0,7844.0,0.0,0.0,0,0,267,262,219,43,5,48,106441.0,109972.0,216413.0,50163.0,191.4618320610687,41,112,114285.0,109972.0,224257.0,401,0,267,533,400,401,353,48,0.19611111111111112,142.03116147308782,50137.0,48,310.25495750708217,109520.0,breakdown,3,1800.0,600.0,2400.0,147,43,5,396,401,0,0
ramp_fixed_4s,1:2,800,0,0,0,0,0,4.0,0,0.0,0.0,232,134,134,134,0,0,0,7744.0,0.0,7744.0,0.0,0.0,0,0,267,265,223,42,2,44,106872.0,108370.0,215242.0,49167.0,185.53584905660378,41,112,114616.0,108370.0,222986.0,401,0,267,533,400,401,357,44,0.19833333333333333,137.65826330532212,49144.0,44,308.515406162465,110140.0,breakdown,4,1800.0,600.0,2400.0,149,42,2,399,401,0,0
ramp_fixed_4s,1:2,800,0,0,0,0,0,4.0,0,0.0,0.0,255,134,134,134,0,0,0,7811.0,0.0,7811.0,0.0,0.0,0,0,267,267,245,22,0,22,97864.0,74224.0,172088.0,43052.0,161.24344569288388,40,94,105675.0,74224.0,179899.0,401,0,267,533,400,401,379,22,0.21055555555555555,113.53034300791556,43028.0,22,269.62796833773086,102189.0,breakdown,5,1800.0,600.0,2400.0,124,22,0,401,401,0,0
ramp_on_demand_4s,1:2,800,0,0,0,0,0,4.0,8,1385.0,0.5770833333333333,37,134,134,134,0,0,0,7847.0,0.0,7847.0,0.0,0.0,0,0,267,267,267,0,0,0,96713.0,80752.0,177465.0,51275.0,192.04119850187266,40,103,104560.0,80752.0,185312.0,401,0,267,533,400,401,401,0,0.22277777777777777,127.8428927680798,51265.0,0,260.74812967581045,104560.0,queue,1,1800.0,600.0,2400.0,139,0,0,401,401,0,0
ramp_on_demand_4s,1:2,800,0,0,0,0,0,4.0,7,1430.0,0.5958333333333333,35,134,134,134,0,0,0,7835.0,0.0,7835.0,0.0,0.0,0,0,267,267,267,0,0,0,101172.0,95163.0,196335.0,52936.0,198.2621722846442,41,109,109007.0,95163.0,204170.0,401,0,267,533,400,401,401,0,0.22277777777777777,131.96758104738154,52919.0,0,271.8379052369077,109007.0,queue,2,1800.0,600.0,2400.0,144,0,0,401,401,0,0
ramp_on_demand_4s,1:2,800,0,0,0,0,0,4.0,8,1293.0,0.53875,30,134,134,134,0,0,0,7838.0,0.0,7838.0,0.0,0.0,0,0,267,267,267,0,0,0,92876.0,70275.0,163151.0,50118.0,187.7078651685393,42,98,100714.0,70275.0,170989.0,401,0,267,533,400,401,401,0,0.22277777777777777,124.95511221945137,50107.0,0,251.1571072319202,100714.0,queue,3,1800.0,600.0,2400.0,135,0,0,401,401,0,0
ramp_on_demand_4s,1:2,800,0,0,0,0,0,4.0,4,1629.0,0.67875,91,134,134,134,0,0,0,7793.0,0.0,7793.0,0.0,0.0,0,0,267,267,267,0,0,0,89403.0,66829.0,156232.0,44735.0,167.54681647940075,42,94,97196.0,66829.0,164025.0,401,0,267,533,400,401,401,0,0.22277777777777777,111.53615960099751,44726.0,0,242.38403990024938,97196.0,queue,4,1800.0,600.0,2400.0,131,0,0,401,401,0,0
ramp_on_demand_4s,1:2,800,0,0,0,0,0,4.0,4,1500.0,0.625,50,134,134,134,0,0,0,7793.0,0.0,7793.0,0.0,0.0,0,0,267,267,267,0,0,0,99276.0,90542.0,189818.0,50397.0,188.75280898876406,40,111,107069.0,90542.0,197611.0,401,0,267,533,400,401,401,0,0.22277777777777777,125.64837905236908,50385.0,0,267.00498753117205,107069.0,queue,5,1800.0,600.0,2400.0,145,0,0,401,401,0,0
uncontrolled,1:3,800,0,0,0,0,0,0.0,0,0.0,0.0,0,100,100,100,0,0,0,5901.0,0.0,5901.0,0.0,0.0,0,0,300,300,300,0,0,0,76731.0,17714.0,94445.0,29111.0,97.03666666666666,37,35,82632.0,17714.0,100346.0,400,0,200,600,400,400,400,0,0.2222222222222222,72.7475,29099.0,0,206.58,82632.0,queue,1,1800.0,600.0,2400.0,67,0,0,400,400,0,0
uncontrolled,1:3,800,0,0,0,0,0,0.0,0,0.0,0.0,0,100,100,100,0,0,0,5959.0,0.0,5959.0,0.0,0.0,0,0,300,300,300,0,0,0,79370.0,29545.0,108915.0,29923.0,99.74333333333334,39,47,85329.0,29545.0,114874.0,400,0,200,600,400,400,400,0,0.2222222222222222,74.77,29908.0,0,213.3225,85329.0,queue,2,1800.0,600.0,2400.0,72,0,0,400,400,0,0
