total_demand_veh_h,demand_ratio,seed,metric,lower_is_better,uncontrolled_value,cooperative_value,paired_delta
1000,1:4,3,insertion_wait_time_s,True,132096.0,216434.0,84338.0
1000,1:4,3,unfinished_vehicles,True,0.0,44.0,44.0
1000,1:4,3,throughput_veh_h,False,1000.0,912.0000000000001,-87.99999999999989
1000,1:4,4,total_time_spent_s,True,238770.0,336923.0,98153.0
1000,1:4,4,network_time_spent_s,True,109244.0,117240.0,7996.0
1000,1:4,4,insertion_wait_time_s,True,129526.0,219683.0,90157.0
1000,1:4,4,unfinished_vehicles,True,0.0,50.0,50.0
1000,1:4,4,throughput_veh_h,False,1000.0,900.0,-100.0
1000,1:4,5,total_time_spent_s,True,229972.0,293952.0,63980.0
1000,1:4,5,network_time_spent_s,True,108688.0,115172.0,6484.0
1000,1:4,5,insertion_wait_time_s,True,121284.0,178780.0,57496.0
1000,1:4,5,unfinished_vehicles,True,0.0,20.0,20.0
1000,1:4,5,throughput_veh_h,False,1000.0,960.0,-40.0
1000,1:5,1,total_time_spent_s,True,33013.0,34391.0,1378.0
1000,1:5,1,network_time_spent_s,True,33013.0,34391.0,1378.0
1000,1:5,1,insertion_wait_time_s,True,0.0,0.0,0.0
1000,1:5,1,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:5,1,throughput_veh_h,False,1002.0,1002.0,0.0
1000,1:5,2,total_time_spent_s,True,34341.0,35151.0,810.0
1000,1:5,2,network_time_spent_s,True,34341.0,35151.0,810.0
1000,1:5,2,insertion_wait_time_s,True,0.0,0.0,0.0
1000,1:5,2,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:5,2,throughput_veh_h,False,1002.0,1002.0,0.0
1000,1:5,3,total_time_spent_s,True,32704.0,32721.0,17.0
1000,1:5,3,network_time_spent_s,True,32704.0,32721.0,17.0
1000,1:5,3,insertion_wait_time_s,True,0.0,0.0,0.0
1000,1:5,3,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:5,3,throughput_veh_h,False,1002.0,1002.0,0.0
1000,1:5,4,total_time_spent_s,True,32491.0,32615.0,124.0
1000,1:5,4,network_time_spent_s,True,32491.0,32615.0,124.0
1000,1:5,4,insertion_wait_time_s,True,0.0,0.0,0.0
1000,1:5,4,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:5,4,throughput_veh_h,False,1002.0,1002.0,0.0
1000,1:5,5,total_time_spent_s,True,33120.0,33653.0,533.0
1000,1:5,5,network_time_spent_s,True,33120.0,33653.0,533.0
1000,1:5,5,insertion_wait_time_s,True,0.0,0.0,0.0
1000,1:5,5,unfinished_vehicles,True,0.0,0.0,0.0
1000,1:5,5,throughput_veh_h,False,1002.0,1002.0,0.0
1200,1:1,1,total_time_spent_s,True,352211.0,358583.0,6372.0
1200,1:1,1,network_time_spent_s,True,130628.0,130992.0,364.0
1200,1:1,1,insertion_wait_time_s,True,221583.0,227591.0,6008.0
1200,1:1,1,unfinished_vehicles,True,62.0,63.0,1.0
1200,1:1,1,throughput_veh_h,False,1076.0,1074.0,-2.0
1200,1:1,2,total_time_spent_s,True,347235.0,361635.0,14400.0
1200,1:1,2,network_time_spent_s,True,130829.0,131632.0,803.0
1200,1:1,2,insertion_wait_time_s,True,216406.0,230003.0,13597.0
1200,1:1,2,unfinished_vehicles,True,51.0,63.0,12.0
1200,1:1,2,throughput_veh_h,False,1098.0,1074.0,-24.0
1200,1:1,3,total_time_spent_s,True,363808.0,369741.0,5933.0
1200,1:1,3,network_time_spent_s,True,131312.0,131555.0,243.0
1200,1:1,3,insertion_wait_time_s,True,232496.0,238186.0,5690.0
1200,1:1,3,unfinished_vehicles,True,68.0,70.0,2.0
1200,1:1,3,throughput_veh_h,False,1064.0,1060.0,-4.0
1200,1:1,4,total_time_spent_s,True,369841.0,364568.0,-5273.0
1200,1:1,4,network_time_spent_s,True,131177.0,131265.0,88.0
1200,1:1,4,insertion_wait_time_s,True,238664.0,233303.0,-5361.0
1200,1:1,4,unfinished_vehicles,True,68.0,66.0,-2.0
1200,1:1,4,throughput_veh_h,False,1064.0,1068.0,4.0
1200,1:1,5,total_time_spent_s,True,362143.0,364589.0,2446.0
1200,1:1,5,network_time_spent_s,True,131322.0,131452.0,130.0
1200,1:1,5,insertion_wait_time_s,True,230821.0,233137.0,2316.0
1200,1:1,5,unfinished_vehicles,True,68.0,70.0,2.0
1200,1:1,5,throughput_veh_h,False,1064.0,1060.0,-4.0
1200,1:2,1,total_time_spent_s,True,469013.0,456697.0,-12316.0
