main_veh_h,side_veh_h,expected_generated_veh,generated_veh,arrived_veh,unfinished_vehicles,throughput,avg_wait_time_s,total_wait_time_s,queue_length,avg_travel_time_s,total_travel_time_s,state,seed,duration_s,clearance_time_s,simulation_end_s,peak_queue_vehicles,final_running_vehicles,final_waiting_vehicles,inserted_vehicles,loaded_vehicles,teleports,collisions
200,810,505,506,506,0,0.2811111111111111,73.41699604743083,37149.0,0,221.78853754940712,112225.0,queue,4,1800.0,600.0,2400.0,179,0,0,506,506,0,0
200,810,505,506,506,0,0.2811111111111111,63.391304347826086,32076.0,0,207.699604743083,105096.0,queue,5,1800.0,600.0,2400.0,161,0,0,506,506,0,0
200,815,508,508,508,0,0.2822222222222222,67.6259842519685,34354.0,0,219.0531496062992,111279.0,queue,1,1800.0,600.0,2400.0,171,0,0,508,508,0,0
200,815,508,508,508,0,0.2822222222222222,72.27362204724409,36715.0,0,217.28937007874015,110383.0,queue,2,1800.0,600.0,2400.0,183,0,0,508,508,0,0
200,815,508,508,507,1,0.2816666666666667,74.3076923076923,37674.0,1,222.74556213017752,112932.0,breakdown,3,1800.0,600.0,2400.0,182,1,0,508,508,0,0
200,815,508,508,508,0,0.2822222222222222,71.49606299212599,36320.0,0,219.8464566929134,111682.0,queue,4,1800.0,600.0,2400.0,186,0,0,508,508,0,0
200,815,508,508,508,0,0.2822222222222222,67.67125984251969,34377.0,0,216.5236220472441,109994.0,queue,5,1800.0,600.0,2400.0,170,0,0,508,508,0,0
200,816,508,508,508,0,0.2822222222222222,64.7755905511811,32906.0,0,217.03543307086613,110254.0,queue,1,1800.0,600.0,2400.0,162,0,0,508,508,0,0
200,816,508,508,508,0,0.2822222222222222,69.45866141732283,35285.0,0,219.26968503937007,111389.0,queue,2,1800.0,600.0,2400.0,179,0,0,508,508,0,0
200,816,508,508,508,0,0.2822222222222222,69.62007874015748,35367.0,0,220.7244094488189,112128.0,queue,3,1800.0,600.0,2400.0,176,0,0,508,508,0,0
200,816,508,508,507,1,0.2816666666666667,75.82840236686391,38445.0,1,222.89546351084812,113008.0,breakdown,4,1800.0,600.0,2400.0,193,1,0,508,508,0,0
200,816,508,508,508,0,0.2822222222222222,71.74606299212599,36447.0,0,219.06692913385828,111286.0,queue,5,1800.0,600.0,2400.0,180,0,0,508,508,0,0
200,817,508,509,504,5,0.28,76.02579365079364,38317.0,5,224.59920634920636,113198.0,breakdown,1,1800.0,600.0,2400.0,189,5,0,509,509,0,0
200,817,508,509,509,0,0.2827777777777778,71.0,36139.0,0,219.8369351669941,111897.0,queue,2,1800.0,600.0,2400.0,179,0,0,509,509,0,0
200,817,508,509,509,0,0.2827777777777778,67.15717092337917,34183.0,0,219.05108055009822,111497.0,queue,3,1800.0,600.0,2400.0,170,0,0,509,509,0,0
200,817,508,509,509,0,0.2827777777777778,67.49312377210217,34354.0,0,217.12770137524558,110518.0,queue,4,1800.0,600.0,2400.0,175,0,0,509,509,0,0
200,817,508,509,509,0,0.2827777777777778,70.22003929273085,35742.0,0,217.43418467583498,110674.0,queue,5,1800.0,600.0,2400.0,177,0,0,509,509,0,0
200,818,509,509,508,1,0.2822222222222222,74.12795275590551,37657.0,1,222.73425196850394,113149.0,breakdown,1,1800.0,600.0,2400.0,191,1,0,509,509,0,0
200,818,509,509,503,6,0.27944444444444444,76.55467196819086,38507.0,6,224.99005964214712,113170.0,breakdown,2,1800.0,600.0,2400.0,191,6,0,509,509,0,0
200,818,509,509,509,0,0.2827777777777778,71.54223968565816,36415.0,0,220.87229862475442,112424.0,queue,3,1800.0,600.0,2400.0,179,0,0,509,509,0,0
200,818,509,509,509,0,0.2827777777777778,62.22789783889981,31674.0,0,214.5893909626719,109226.0,queue,4,1800.0,600.0,2400.0,156,0,0,509,509,0,0
200,818,509,509,509,0,0.2827777777777778,69.95481335952849,35607.0,0,218.1728880157171,111050.0,queue,5,1800.0,600.0,2400.0,180,0,0,509,509,0,0
200,819,510,510,508,2,0.2822222222222222,74.71653543307086,37956.0,2,223.3996062992126,113487.0,breakdown,1,1800.0,600.0,2400.0,192,2,0,510,510,0,0
200,819,510,510,510,0,0.2833333333333333,70.81764705882352,36117.0,0,218.76666666666668,111571.0,queue,2,1800.0,600.0,2400.0,181,0,0,510,510,0,0
200,819,510,510,509,1,0.2827777777777778,70.58742632612966,35929.0,1,222.65029469548134,113329.0,breakdown,3,1800.0,600.0,2400.0,177,1,0,510,510,0,0
200,819,510,510,505,5,0.28055555555555556,76.44950495049505,38607.0,5,224.88316831683167,113566.0,breakdown,4,1800.0,600.0,2400.0,194,5,0,510,510,0,0
200,819,510,510,506,4,0.2811111111111111,76.76679841897233,38844.0,4,222.35770750988144,112513.0,breakdown,5,1800.0,600.0,2400.0,193,4,0,510,510,0,0
200,820,510,511,505,6,0.28055555555555556,75.36633663366337,38060.0,6,224.42772277227724,113336.0,breakdown,1,1800.0,600.0,2400.0,192,6,0,511,511,0,0
200,820,510,511,491,20,0.2727777777777778,80.14867617107943,39353.0,20,227.81466395112017,111857.0,breakdown,2,1800.0,600.0,2400.0,192,20,0,511,511,0,0
200,820,510,511,511,0,0.2838888888888889,67.76516634050881,34628.0,0,219.15264187866927,111987.0,queue,3,1800.0,600.0,2400.0,180,0,0,511,511,0,0
200,820,510,511,501,10,0.2783333333333333,77.88023952095809,39018.0,10,226.25349301397205,113353.0,breakdown,4,1800.0,600.0,2400.0,196,10,0,511,511,0,0
200,820,510,511,498,13,0.27666666666666667,80.26907630522088,39974.0,13,225.15261044176708,112126.0,breakdown,5,1800.0,600.0,2400.0,199,13,0,511,511,0,0
200,840,520,520,520,0,0.28888888888888886,65.06923076923077,33836.0,0,216.37307692307692,112514.0,queue,1,1800.0,600.0,2400.0,182,0,0,520,520,0,0
200,840,520,520,493,27,0.2738888888888889,83.49898580121703,41165.0,27,231.0,113883.0,breakdown,2,1800.0,600.0,2400.0,213,27,0,520,520,0,0
200,840,520,520,520,0,0.28888888888888886,63.598076923076924,33071.0,0,214.15384615384616,111360.0,queue,3,1800.0,600.0,2400.0,177,0,0,520,520,0,0
200,840,520,520,513,7,0.285,74.27485380116958,38103.0,7,222.89863547758284,114347.0,breakdown,4,1800.0,600.0,2400.0,195,7,0,520,520,0,0
200,840,520,520,504,16,0.28,78.83531746031746,39733.0,16,223.9265873015873,112859.0,breakdown,5,1800.0,600.0,2400.0,206,16,0,520,520,0,0
200,900,550,550,507,43,0.2816666666666667,76.31952662721893,38694.0,43,226.6429980276134,114908.0,breakdown,1,1800.0,600.0,2400.0,231,43,0,550,550,0,0
200,900,550,550,501,49,0.2783333333333333,79.187624750499,39673.0,49,228.40319361277446,114430.0,breakdown,2,1800.0,600.0,2400.0,233,49,0,550,550,0,0
200,900,550,550,511,39,0.2838888888888889,73.67514677103718,37648.0,39,222.24461839530332,113567.0,breakdown,3,1800.0,600.0,2400.0,225,39,0,550,550,0,0
200,900,550,550,530,20,0.29444444444444445,62.3188679245283,33029.0,20,215.3811320754717,114152.0,breakdown,4,1800.0,600.0,2400.0,204,20,0,550,550,0,0
200,900,550,550,509,41,0.2827777777777778,76.48722986247544,38932.0,41,225.19056974459724,114622.0,breakdown,5,1800.0,600.0,2400.0,229,41,0,550,550,0,0
200,1000,600,600,519,81,0.28833333333333333,73.07514450867052,37926.0,81,221.242774566474,114825.0,breakdown,1,1800.0,600.0,2400.0,270,45,36,564,600,0,0
200,1000,600,600,506,94,0.2811111111111111,80.9802371541502,40976.0,94,229.50592885375494,116130.0,breakdown,2,1800.0,600.0,2400.0,279,46,48,552,600,0,0
200,1000,600,600,506,94,0.2811111111111111,75.31422924901186,38109.0,94,227.75691699604744,115245.0,breakdown,3,1800.0,600.0,2400.0,270,50,44,556,600,0,0
200,1000,600,600,524,76,0.2911111111111111,68.5057251908397,35897.0,76,219.8091603053435,115180.0,breakdown,4,1800.0,600.0,2400.0,265,46,30,570,600,0,0
200,1000,600,600,502,98,0.2788888888888889,79.92430278884463,40122.0,98,231.5378486055777,116232.0,breakdown,5,1800.0,600.0,2400.0,281,44,54,546,600,0,0
